Date,Price
1/15/00,25.51
2/15/00,27.78
3/15/00,27.49
4/15/00,22.76
5/15/00,27.74
6/15/00,29.8
7/15/00,28.68
8/15/00,30.2
9/15/00,33.14
10/15/00,30.96
11/15/00,32.55
12/15/00,25.66
1/15/01,25.62
2/15/01,27.5
3/15/01,24.5
4/15/01,25.66
5/15/01,28.31
6/15/01,27.85
7/15/01,24.61
8/15/01,25.68
9/15/01,25.62
10/15/01,20.54
11/15/01,18.8
12/15/01,18.71
1/15/02,19.42
2/15/02,20.28
3/15/02,23.7
4/15/02,25.73
5/15/02,25.35
6/15/02,24.08
7/15/02,25.74
8/15/02,26.65
9/15/02,28.4
10/15/02,27.54
11/15/02,24.34
12/15/02,28.33
1/15/03,31.18
2/15/03,32.77
3/15/03,30.61
4/15/03,25
5/15/03,25.86
6/15/03,27.65
7/15/03,28.35
8/15/03,29.89
9/15/03,27.11
10/15/03,29.61
11/15/03,28.75
12/15/03,29.81
1/15/04,31.28
2/15/04,30.86
3/15/04,33.63
4/15/04,33.59
5/15/04,37.57
6/15/04,35.18
7/15/04,38.22
8/15/04,42.74
9/15/04,43.2
10/15/04,49.78
11/15/04,43.11
12/15/04,39.6
1/15/05,44.51
2/15/05,45.48
3/15/05,53.1
4/15/05,51.88
5/15/05,48.65
6/15/05,54.35
7/15/05,57.52
8/15/05,63.98
9/15/05,62.91
10/15/05,58.54
11/15/05,55.24
12/15/05,56.86
1/15/06,62.99
2/15/06,60.21
3/15/06,62.06
4/15/06,70.26
5/15/06,69.78
6/15/06,68.56
7/15/06,73.67
8/15/06,73.23
9/15/06,61.96
10/15/06,57.81
11/15/06,58.76
12/15/06,62.47
1/15/07,53.68
2/15/07,57.56
3/15/07,62.05
4/15/07,67.49
5/15/07,67.21
6/15/07,71.05
7/15/07,76.93
8/15/07,70.76
9/15/07,77.17
10/15/07,82.34
11/15/07,92.41
12/15/07,90.93
1/15/08,92.18
2/15/08,94.99
3/15/08,103.64
4/15/08,109.07
5/15/08,122.8
6/15/08,132.32
7/15/08,132.72
8/15/08,113.24
9/15/08,97.23
10/15/08,71.58
11/15/08,52.45
12/15/08,39.95
1/15/09,43.44
2/15/09,43.32
3/15/09,46.54
4/15/09,50.18
5/15/09,57.3
6/15/09,68.61
7/15/09,64.44
8/15/09,72.51
9/15/09,67.65
10/15/09,72.77
11/15/09,76.66
12/15/09,74.46
1/15/10,76.17
2/15/10,73.75
3/15/10,78.83
4/15/10,84.82
5/15/10,75.95
6/15/10,74.76
7/15/10,75.58
8/15/10,77.04
9/15/10,77.84
10/15/10,82.67
11/15/10,85.28
12/15/10,91.45
1/15/11,96.52
2/15/11,103.72
3/15/11,114.64
4/15/11,123.26
5/15/11,114.99
6/15/11,113.83
7/15/11,116.97
8/15/11,110.22
9/15/11,112.83
10/15/11,109.55
11/15/11,110.77
12/15/11,107.87
1/15/12,110.69
2/15/12,119.33
3/15/12,125.45
4/15/12,119.75
5/15/12,110.34
6/15/12,95.16
7/15/12,102.62
8/15/12,113.36
9/15/12,112.86
10/15/12,111.71
11/15/12,109.06
12/15/12,109.49
1/15/13,112.96
2/15/13,116.05
3/15/13,108.47
4/15/13,102.25
5/15/13,102.56
6/15/13,102.92
7/15/13,107.93
8/15/13,111.28
9/15/13,111.6
10/15/13,109.08
11/15/13,107.79
12/15/13,110.76
1/15/14,108.12
2/15/14,108.9
3/15/14,107.48
4/15/14,107.76
5/15/14,109.54
6/15/14,111.8
7/15/14,106.77
8/15/14,101.61
9/15/14,97.09
10/15/14,87.43
11/15/14,79.44
12/15/14,62.34
1/15/15,47.76
2/15/15,58.1
3/15/15,55.89
4/15/15,59.52
5/15/15,64.08
6/15/15,61.48
7/15/15,56.56
8/15/15,46.52
9/15/15,47.62
10/15/15,48.43
11/15/15,44.27
12/15/15,38.01
1/15/16,30.7
2/15/16,32.18
3/15/16,38.21
4/15/16,41.58
5/15/16,46.74
6/15/16,48.25
7/15/16,44.95
8/15/16,45.84
9/15/16,46.57
10/15/16,49.52
11/15/16,44.73
12/15/16,53.31
1/15/17,54.58
2/15/17,54.87
3/15/17,51.59
4/15/17,52.31
5/15/17,50.33
6/15/17,46.37
7/15/17,48.48
8/15/17,51.7
9/15/17,56.15
10/15/17,57.51
11/15/17,62.71
12/15/17,64.37
1/15/18,69.08
2/15/18,65.32
3/15/18,66.02
4/15/18,72.11
5/15/18,76.98
6/15/18,74.41
7/15/18,74.25
8/15/18,72.53
9/15/18,78.89
10/15/18,81.03
11/15/18,64.75
